Time(s)	Acc.(g)			
8.75	-4.67E-02			
8.76	-4.66E-02			
8.77	-3.27E-02			
8.78	-5.92E-03			
8.79	1.65E-02			
8.8	1.83E-02			
8.81	6.09E-04			
8.82	-2.13E-02			
8.83	-3.80E-02			
8.84	-5.00E-02			
8.85	-5.69E-02			
8.86	-5.42E-02			
8.87	-4.37E-02			
8.88	-3.67E-02			
8.89	-3.86E-02			
8.9	-4.15E-02			
8.91	-3.74E-02			
8.92	-3.11E-02			
8.93	-3.03E-02			
8.94	-3.24E-02			
8.95	-3.08E-02			
8.96	-2.67E-02			
8.97	-2.58E-02			
8.98	-2.73E-02			
8.99	-2.72E-02			
9	-2.71E-02			
9.01	-3.08E-02			
9.02	-3.55E-02			
9.03	-3.54E-02			
9.04	-3.11E-02			
9.05	-2.69E-02			
9.06	-2.25E-02			
9.07	-1.54E-02			
9.08	-7.57E-03			
9.09	-5.49E-04			
9.1	8.49E-03			
9.11	2.03E-02			
9.12	2.90E-02			
9.13	3.08E-02			
9.14	3.11E-02			
9.15	3.46E-02			
9.16	3.69E-02			
9.17	3.51E-02			
9.18	3.43E-02			
9.19	3.72E-02			
9.2	3.69E-02			
9.21	3.10E-02			
9.22	2.88E-02			
9.23	3.32E-02			
9.24	3.16E-02			
9.25	1.88E-02			
9.26	1.09E-02			
9.27	1.75E-02			
9.28	2.23E-02			
9.29	1.43E-02			
9.3	1.33E-02			
9.31	3.31E-02			
9.32	3.97E-02			
9.33	-7.88E-03			
9.34	-8.84E-02			
9.35	-1.38E-01			
9.36	-1.37E-01			
9.37	-1.27E-01			
9.38	-1.37E-01			
9.39	-1.48E-01			
9.4	-1.37E-01			
9.41	-1.23E-01			
9.42	-1.22E-01			
9.43	-1.21E-01			
9.44	-1.06E-01			
9.45	-8.88E-02			
9.46	-8.52E-02			
9.47	-8.19E-02			
9.48	-6.57E-02			
9.49	-4.93E-02			
9.5	-4.59E-02			
9.51	-4.24E-02			
9.52	-2.56E-02			
9.53	-8.49E-03			
9.54	-6.78E-03			
9.55	-1.11E-02			
9.56	-8.55E-03			
9.57	-8.31E-03			
9.58	-1.92E-02			
9.59	-2.60E-02			
9.6	-1.42E-02			
9.61	2.50E-03			
9.62	7.88E-03			
9.63	9.89E-03			
9.64	1.73E-02			
9.65	1.74E-02			
9.66	4.33E-03			
9.67	2.63E-03			
9.68	2.77E-02			
9.69	5.40E-02			
9.7	5.86E-02			
9.71	6.23E-02			
9.72	8.92E-02			
9.73	1.17E-01			
9.74	1.22E-01			
9.75	1.32E-01			
9.76	1.74E-01			
9.77	1.92E-01			
9.78	1.12E-01			
9.79	-2.87E-02			
9.8	-1.11E-01			
9.81	-8.88E-02			
9.82	-3.82E-02			
9.83	-3.13E-02			
9.84	-4.45E-02			
9.85	-3.46E-02			
9.86	-2.49E-02			
9.87	-5.44E-02			
9.88	-9.70E-02			
9.89	-9.99E-02			
9.9	-6.78E-02			
9.91	-4.93E-02			
9.92	-6.00E-02			
9.93	-7.20E-02			
9.94	-6.92E-02			
9.95	-6.26E-02			
9.96	-5.54E-02			
9.97	-3.54E-02			
9.98	-3.66E-03			
9.99	2.24E-02			
10	3.94E-02			
10.01	6.49E-02			
10.02	1.08E-01			
10.03	1.53E-01			
10.04	1.71E-01			
10.05	1.47E-01			
10.06	9.56E-02			
10.07	5.11E-02			
10.08	4.25E-02			
10.09	6.02E-02			
10.1	6.70E-02			
10.11	4.51E-02			
10.12	1.44E-02			
10.13	-2.14E-03			
10.14	-1.06E-02			
10.15	-2.78E-02			
10.16	-5.20E-02			
10.17	-7.11E-02			
10.18	-8.53E-02			
10.19	-1.01E-01			
10.2	-1.17E-01			
10.21	-1.23E-01			
10.22	-1.18E-01			
10.23	-1.04E-01			
10.24	-8.09E-02			
10.25	-5.59E-02			
10.26	-3.86E-02			
10.27	-2.30E-02			
10.28	3.91E-03			
10.29	3.54E-02			
